G,method,wer,delta_pp,p_value,ci_lower,ci_upper,oracle_wer,gap_closed_pct
16,mbr_cer_pll_tauinf,5.9885,-0.0334,,,,4.4418,2.11
16,gpt2_interp_a0.7,5.9963,-0.0255,,,,4.4418,1.61
16,gpt2_interp_a0.8,5.9885,-0.0334,0.0238,-0.06675711228494598,-0.0019384869735557136,4.4418,2.11
32,greedy,6.0218,0.0,,,,4.2612,0.0
32,oracle,4.2612,-1.7606,,,,4.2612,100.0
32,mbr_cer_ctc_tau50,5.9669,-0.055,0.0266,-0.10970448941857826,0.0,4.2612,3.12
32,mbr_cer_ctc_tau_inf,5.9649,-0.0569,0.0248,-0.11242506474430466,-0.0019143399887135675,4.2612,3.23
32,roberta_interp_a0.5,6.595,0.5731,,,,4.2612,-32.55
32,roberta_interp_a0.6,6.1553,0.1335,,,,4.2612,-7.58
32,roberta_interp_a0.7,5.9629,-0.0589,0.0754,-0.13852048254070548,0.019613699862332384,4.2612,3.34
32,roberta_interp_a0.8,5.8903,-0.1315,0.0,-0.18739962133935473,-0.0788471498653078,4.2612,7.47
32,roberta_interp_a0.9,5.9904,-0.0314,,,,4.2612,1.78
32,mbr_cer_pll_tau5,6.3241,0.3023,1.0,0.16585420062920214,0.43786689580927973,4.2612,-17.17
32,mbr_cer_pll_tau10,5.7078,-0.314,0.0,-0.40429106565510603,-0.22527355352296485,4.2612,17.84
32,mbr_cer_pll_tau50,5.9178,-0.104,0.0002,-0.16274546485194583,-0.045376481765801745,4.2612,5.91
32,mbr_cer_pll_tauinf,5.9649,-0.0569,,,,4.2612,3.23
32,gpt2_interp_a0.7,6.0199,-0.002,,,,4.2612,0.11
32,gpt2_interp_a0.8,6.0022,-0.0196,0.1143,-0.05142539839485542,0.009997830677143906,4.2612,1.11
64,greedy,6.0218,0.0,,,,3.9001,0.0
64,oracle,3.9001,-2.1218,,,,3.9001,100.0
64,mbr_cer_ctc_tau50,5.9335,-0.0883,0.0014,-0.14440785475048742,-0.03121553900062673,3.9001,4.16
64,mbr_cer_ctc_tau_inf,5.9433,-0.0785,0.004,-0.1352093749399657,-0.019914045504950885,3.9001,3.7
64,roberta_interp_a0.5,6.6695,0.6477,,,,3.9001,-30.53
64,roberta_interp_a0.6,6.1455,0.1237,,,,3.9001,-5.83
64,roberta_interp_a0.7,5.9629,-0.0589,0.0803,-0.1390096674772541,0.021409776124857727,3.9001,2.78
64,roberta_interp_a0.8,5.8884,-0.1335,0.0,-0.18864400214458596,-0.08171288745840191,3.9001,6.29
64,roberta_interp_a0.9,5.9904,-0.0314,,,,3.9001,1.48
64,mbr_cer_pll_tau5,6.0316,0.0098,0.5669,-0.12140753425855916,0.14303381194109144,3.9001,-0.46
64,mbr_cer_pll_tau10,5.645,-0.3769,0.0,-0.4643028105222531,-0.2893596736048029,3.9001,17.76
64,mbr_cer_pll_tau50,5.8354,-0.1865,0.0,-0.2507973861282967,-0.12415883066938088,3.9001,8.79
64,mbr_cer_pll_tauinf,5.9433,-0.0785,,,,3.9001,3.7
64,gpt2_interp_a0.7,6.012,-0.0098,,,,3.9001,0.46
64,gpt2_interp_a0.8,5.9943,-0.0275,0.0498,-0.05975010007576809,0.003932085036893506,3.9001,1.3
128,greedy,6.0218,0.0,,,,3.535,0.0
128,oracle,3.535,-2.4868,,,,3.535,100.0
128,mbr_cer_ctc_tau50,5.9374,-0.0844,0.004,-0.14518641939831287,-0.023232302214908292,3.535,3.39
128,mbr_cer_ctc_tau_inf,5.9335,-0.0883,0.0034,-0.1504540862176052,-0.024308971723207166,3.535,3.55
128,roberta_interp_a0.5,6.7009,0.6791,,,,3.535,-27.31
128,roberta_interp_a0.6,6.1926,0.1708,,,,3.535,-6.87
128,roberta_interp_a0.7,5.9649,-0.0569,0.096,-0.14217551834185493,0.025609002754493383,3.535,2.29
128,roberta_interp_a0.8,5.8884,-0.1335,0.0,-0.18979189327960472,-0.07876195899864541,3.535,5.37
128,roberta_interp_a0.9,5.9806,-0.0412,,,,3.535,1.66
128,mbr_cer_pll_tau5,6.0002,-0.0216,0.3828,-0.15930024731254225,0.11915073033691699,3.535,0.87
128,mbr_cer_pll_tau10,5.5292,-0.4927,0.0,-0.5857379754892228,-0.40314973294870976,3.535,19.81
128,mbr_cer_pll_tau50,5.8197,-0.2022,0.0,-0.270934207716063,-0.13494811299542298,3.535,8.13
128,mbr_cer_pll_tauinf,5.9335,-0.0883,,,,3.535,3.55
128,gpt2_interp_a0.7,6.0002,-0.0216,,,,3.535,0.87
128,gpt2_interp_a0.8,5.9983,-0.0236,0.0501,-0.05219254769114947,0.002001794630172935,3.535,0.95
