utt_id,T,L,T_over_L,dead_frac,active_frac,ambig_frac,mean_entropy
4323-55228-0000,146,44,3.3181818181818183,0.1780821917808219,0.4520547945205479,0.3698630136986301,0.3017771244049072
4323-55228-0001,95,20,4.75,0.5263157894736842,0.29473684210526313,0.17894736842105263,0.20523127913475037
4323-55228-0002,182,64,2.84375,0.26373626373626374,0.4340659340659341,0.3021978021978022,0.26489952206611633
4323-55228-0003,157,54,2.9074074074074074,0.39490445859872614,0.3057324840764331,0.29936305732484075,0.2148297131061554
4323-55228-0004,164,52,3.1538461538461537,0.24390243902439024,0.3902439024390244,0.36585365853658536,0.2676082253456116
4323-55228-0005,107,36,2.9722222222222223,0.22429906542056074,0.4392523364485981,0.3364485981308411,0.2892132103443146
4323-55228-0006,90,30,3.0,0.28888888888888886,0.4444444444444444,0.26666666666666666,0.27603474259376526
4323-55228-0007,149,44,3.3863636363636362,0.3221476510067114,0.3691275167785235,0.3087248322147651,0.2644873559474945
4323-55228-0008,82,30,2.7333333333333334,0.32926829268292684,0.32926829268292684,0.34146341463414637,0.2746601104736328
4323-55228-0009,188,62,3.032258064516129,0.2553191489361702,0.3882978723404255,0.35638297872340424,0.262681245803833
4323-55228-0010,155,40,3.875,0.432258064516129,0.3096774193548387,0.25806451612903225,0.22336071729660034
4323-55228-0011,70,18,3.888888888888889,0.38571428571428573,0.32857142857142857,0.2857142857142857,0.22219716012477875
4323-55228-0012,142,46,3.0869565217391304,0.323943661971831,0.4225352112676056,0.2535211267605634,0.2823944687843323
4323-55228-0013,153,48,3.1875,0.22875816993464052,0.43790849673202614,0.3333333333333333,0.2996559739112854
4323-55228-0014,190,62,3.064516129032258,0.22105263157894736,0.4473684210526316,0.33157894736842103,0.28721973299980164
4323-55228-0015,155,38,4.078947368421052,0.45806451612903226,0.2967741935483871,0.24516129032258063,0.21927815675735474
4323-55228-0016,174,58,3.0,0.3218390804597701,0.3160919540229885,0.3620689655172414,0.22218480706214905
4323-55228-0017,214,44,4.863636363636363,0.5607476635514018,0.22429906542056074,0.21495327102803738,0.17971663177013397
4323-55228-0018,52,10,5.2,0.15384615384615385,0.5192307692307693,0.3269230769230769,0.35141468048095703
4323-55228-0019,85,24,3.5416666666666665,0.3176470588235294,0.35294117647058826,0.32941176470588235,0.24094031751155853
4323-55228-0020,70,20,3.5,0.3,0.4142857142857143,0.2857142857142857,0.2535155415534973
