utt_id,condition,mbr_wer,greedy_wer,n_unique,oracle_in_set
6467-56885-0000,flat_sampling,0.066667,0.066667,16,False
6467-56885-0001,flat_sampling,0.3,0.3,16,False
6467-56885-0002,flat_sampling,0.191489,0.191489,16,False
6467-56885-0003,flat_sampling,0.333333,0.333333,16,False
6467-56885-0004,flat_sampling,0.133333,0.133333,16,False
6467-56885-0005,flat_sampling,0.166667,0.166667,16,False
6467-56885-0006,flat_sampling,0.229167,0.229167,16,False
6467-56885-0007,flat_sampling,0.111111,0.111111,16,False
6467-56885-0008,flat_sampling,0.296296,0.296296,16,False
6467-56885-0009,flat_sampling,0.181818,0.181818,16,False
6467-56885-0010,flat_sampling,0.307692,0.307692,16,False
6467-56885-0011,flat_sampling,0.315789,0.210526,16,False
6467-56885-0012,flat_sampling,0.086957,0.086957,16,False
6467-56885-0013,flat_sampling,0.0,0.0,5,True
6467-56885-0014,flat_sampling,0.058824,0.058824,16,False
6467-56885-0015,flat_sampling,0.0,0.111111,16,True
6467-56885-0016,flat_sampling,0.0,0.0,16,True
6467-56885-0017,flat_sampling,0.285714,0.238095,16,False
8288-274150-0000,flat_sampling,0.138889,0.138889,16,False
8288-274150-0001,flat_sampling,0.222222,0.222222,16,False
8288-274150-0002,flat_sampling,0.055556,0.055556,16,False
8288-274150-0003,flat_sampling,0.052632,0.105263,16,False
8288-274150-0004,flat_sampling,0.3,0.3,16,False
8288-274150-0005,flat_sampling,0.5,0.333333,16,False
8288-274150-0006,flat_sampling,0.0,0.0,9,True
8288-274150-0007,flat_sampling,0.16,0.16,16,False
8288-274150-0008,flat_sampling,0.035714,0.0,16,True
8288-274162-0000,flat_sampling,0.166667,0.066667,16,False
8288-274162-0001,flat_sampling,0.0,0.0,8,True
8288-274162-0002,flat_sampling,0.166667,0.222222,16,False
8288-274162-0003,flat_sampling,0.085714,0.085714,16,False
8288-274162-0004,flat_sampling,0.181818,0.181818,16,False
8288-274162-0005,flat_sampling,0.0,0.0,16,True
8288-274162-0006,flat_sampling,0.105263,0.105263,16,False
